stage_pos,mode_q,pol,pole_real_n,pole_real_s,pole_imag_n,pole_imag_s,residue_real_n,residue_real_s,residue_imag_n,residue_imag_s
-0.75,22,y,-3015.005428778323,14.233645291691936,466103650954.2313,14.233643650980618,-4.635553220975778,0.01813259226916154,1.6499605981161378,0.01813258921081253
-0.75,23,x,-3252.792230916442,27.262477507864514,486799987242.1936,27.26247744738703,4.85948424332092,0.041084556557000565,3.6384303994002374,0.04108455695608151
-0.75,23,y,-2800.7028836068657,26.434714171787565,486803441978.28986,26.43471403003054,3.6098343211392163,0.03247253501122347,2.4077883822787562,0.032472535337246464
-0.75,24,x,-2502.597251891809,24.110841120130527,507499739734.53076,24.110841900677983,-1.0963101372794337,0.013528784848639449,-1.4179624996548994,0.013528785513786092
-0.75,24,y,-4632.630620686045,61.5771087601327,507503052249.01447,61.57711257258075,-1.3095014181909288,0.019815044965187035,-1.1557477744422127,0.019815046079937886
-0.75,25,x,-5365.068564628624,111.14514404606084,528199321834.91754,103.2752214517095,-1.0661511856089074,0.02146413539472886,0.4593237180983262,0.021608707456367917
-0.75,25,y,-5014.011616593765,167.8393679904514,528202508558.13745,167.8393673216807,-0.27956858048458033,0.01741040085262459,0.5308112978545129,0.017410400741667307
-0.75,26,x,-3205.9319808888567,61.72679045315473,548898753429.9276,65.29620179931393,-0.6096449477033821,0.01880616234264639,0.9622806869017032,0.018834402638370554
-0.75,26,y,-7620.532649014334,320.37828104465393,548901808519.5957,320.37826801002336,-0.8477885419460295,0.03968363305702442,0.5015821927483548,0.03968363205076348
-0.75,27,x,-9640.265796552261,398.0130163932331,569598054083.26,398.01301651319267,0.0004492449535980641,0.028763572922425987,-0.6750735347847369,0.02876357303226591
-0.75,27,y,-2910.8006623849114,113.1841801278472,569600998890.521,119.20580620371946,0.13512965105285826,0.009566470391402723,-0.2555582207910785,0.009380698388044036
-0.75,28,x,-23646.943022060557,17076.090376513897,590297093183.6697,17076.087533028243,-4.189692965103969,13.823234118976641,34.198387339396625,13.823235737220271
-0.75,28,y,-41317.268245891806,6238.963165705264,590300069773.1222,3999.7678619040885,1.5696632305611935,0.5194720851380128,1.0025288467353577,0.6752794453942605
-0.75,29,x,-6975.670901437125,1100.0691000605311,610996290538.1123,1100.0684756235512,-0.011362419566161196,0.008314010399152747,-0.05518471777399413,0.008314014487873217
-0.75,29,y,-11176.481557904232,1370.441743706098,610999040368.095,1370.4406139989335,-0.043076312977379294,0.012710946918198188,-0.09376783379188554,0.012710966429064696
-0.75,30,x,-412.3326956248642,144.5151611764084,631695309235.4198,144.51515996805122,-0.0023620912877434417,0.0019734317021007724,0.007351210435484081,0.0019734317228900303
-0.75,30,y,-62.542790578985375,392335.724392675,631698126656.7965,392334.71589399164,13.166949628206863,82.76906501833889,-2.874129439284751,82.76937951310623
-0.75,31,x,-89.44066027970655,31.962120883258475,652394138470.359,31.962120832727653,-0.0017528406545733928,0.0005927531005963043,0.0016167465392328214,0.0005927530967172818
-0.75,31,y,-1626.8692315215867,296.5035630011913,652396722055.5004,296.503699152834,0.023574112497495418,0.0032595840262492066,-0.0012984773125433269,0.003259586973836588
-0.75,32,x,-9091.62576984194,1104.1912114204831,673092960110.1476,942.8904168049362,-0.3404038960669727,0.050101109343153497,-0.08695484391361993,0.03636807308635237
-0.75,32,y,-65.92730891853351,1343.7140198740026,673095391439.5084,1343.714008819879,-1.3912735598938932,0.15343175808351994,-0.25204550884877247,0.15343176460724622
-0.75,33,x,-81.89758484082819,25.9125798352433,693791666755.9497,25.91257957708977,-0.00015108660527982085,0.00021769334789395288,-0.000986670247660276,0.0002176933485232298
-0.75,33,y,-5796.981430347992,7045.317948157494,693794183089.9691,7045.25935881349,0.18381632668908277,0.1388478835245029,0.205623354945658,0.1388482767539307
-0.75,34,x,-254.8796364230386,1434.7404008620867,714490313180.4795,1434.7480128250327,0.04780825670357252,0.03354187953628546,0.14592257872877007,0.03354217951948494
-0.75,34,y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0,20,x,-6950.452235788052,37.46380669449329,424699453277.34174,38.04433803959518,-0.3193129644999492,0.05347937191920752,-11.820257244781311,0.05160082765986662
0.0,20,y,-6273.763850529159,38.68851861200135,424703420383.53015,36.96863050843963,-1.40239643025353,0.04465757248759431,-9.471476027572601,0.04815420791994028
0.0,21,x,-3716.4121596351424,6.5861976586411535,445399875509.0448,6.943090689049414,3.7434304949976194,0.028104670844111324,17.356239015059337,0.025075864940656608
0.0,21,y,-3540.463049785565,5.6405260120170615,445403655992.8957,5.825295199168838,4.2873634375176115,0.018485453286070395,12.563509630384708,0.016656070581884688
0.0,22,x,-2609.56663588556,8.501255795803548,466100043252.28076,8.501255753712087,-6.97550344710476,0.01943431358295412,3.367064016919191,0.019434314896562475
0.0,22,y,-2944.364712500477,13.989609191271443,466103653750.5905,13.989609359169544,-6.630988080120989,0.028340600105772426,3.459792103370536,0.028340600596141706
0.0,23,x,-1839.69780457497,10.406871993187783,486799989603.0097,10.133206088719993,4.52373129308728,0.02448174069961721,3.5321985975564463,0.02531508141256351
0.0,23,y,-1894.4469466504866,9.812644431559345,486803444751.644,9.812644856396433,4.289033452674453,0.01850075507540103,1.8553718090326494,0.018500756204867
0.0,24,x,-2237.271444328136,19.018217209884327,507499742551.24414,19.01821595930214,-1.1269404325733416,0.008278292296825605,-0.556113490985388,0.008278292257575044
0.0,24,y,-1778.614480562279,37.039983553546904,507503055129.63684,37.03998360892893,-0.7033697768140724,0.01127244594339259,-0.21685722725563847,0.011272446017331685
0.0,25,x,-1778.4317045273108,22.204114313775847,528199324922.5788,22.3113920311474,-0.25703162366232796,0.0035741781100099854,0.2600950734149665,0.003384435881400511
0.0,25,y,-1516.4443759203923,29.029609302742784,528202506750.9945,29.029608537696138,-0.14046973836322987,0.0034832350434328588,0.19683131516507893,0.0034832360169825207
0.0,26,x,-1338.5399401100437,67.56794377648362,548898757068.181,67.56794378502279,0.41182587368064444,0.01657625926333578,-0.183599208222507,0.01657625931764331
0.0,26,y,-1735.3495179430658,47.275555674173276,548901816863.5375,47.27555418985313,0.3800215805805051,0.008139685826891653,0.10223367455296146,0.008139685477294215
0.0,27,x,-2757.679601348339,83.84687118384267,569598054080.9293,83.8468713760087,-0.25967111031406453,0.00709654121514601,0.13977723563002403,0.007096540631033597
0.0,27,y,-1453.7001800790285,181.73859388800943,569601001121.9636,181.73859386341954,-0.08100220480253935,0.007434396561439413,-0.008488609349969815,0.007434396567060191
0.0,28,x,-168830.97681166534,22644.46468209835,590297250011.3518,22644.45815362521,18.39091505246874,5.547757185227964,11.22163773570059,5.547756451251112
0.0,28,y,-19319.00923970809,7768.970950503449,590300004126.0458,8217.998870456706,4.168679997262857,1.5767065729503766,-0.31196010587627326,2.9337151086495967
0.0,29,x,-2196.9520596869484,168.0959409232503,610996304156.3842,168.0959719514341,0.045325599453468604,0.002911905363002069,-0.019107082768446765,0.0029119061794279986
0.0,29,y,-4820.049889490931,210.2016168904313,610999051024.0796,210.20168922639806,0.13485252475510207,0.005253790783980448,0.038176447760542805,0.005253794845289268
0.0,30,x,-2309.4559781821645,207.9424274513869,631695276952.2711,207.94242780594362,-0.07984309688099712,0.005354186629484959,0.0032469700875282326,0.005354186645038966
0.0,30,y,-2693.266355810785,201.58894989962866,631697935395.7285,201.58895042652637,-0.054625820432124814,0.005844440168288233,0.0885339704082398,0.005844440189654883
0.0,31,x,-0.1420090055221245,28.777435108564944,652394117368.8944,28.77743521112242,-7.903524067436727e-05,0.00044087841894875667,-0.0003732208071786962,0.00044087843002412993
0.0,31,y,-0.9275752631767638,26.141122910261153,652396689051.5603,26.141122912580524,-0.00040875773143011444,0.0006334633432122166,-0.00034229487372454523,0.000633463343320486
0.0,32,x,-22645.03233247249,4075.2648776702235,673092907565.6606,4693.022907944029,-0.06974883346264302,0.18034770163397135,0.7024106447539452,0.1401835759026559
0.0,32,y,-347.20876417848615,2569.4202486660724,673095397695.5837,2569.419941006778,0.4710812924656277,0.24744471791204958,-0.4821566507858309,0.24744493228502717
